ID,Категория культуры,Культура,№,Показатель зерна,Тип поля,Единица измерения,"Примечание
к ед.изм.",Минимальное значение,Редакт. min-знач,Максимальное значение,Редакт max-знач,ГОСТ
1,Кукуруза,Кукуруза,1,Влажность,Числовое,%,Проценты,Нет,Нет,"14,0",Да,ГОСТ 13586.5-2015
2,,Кукуруза,2,Сорная примечь,Числовое,%,Проценты,Нет,Нет,"2,0",Да,ГОСТ 30483-97
3,,Кукуруза,3,Зерновая примесь,Числовое,%,Проценты,Нет,Нет,"15,0",Да,ГОСТ 30483-97
4,,Кукуруза,4,Битые,Числовое,%,Проценты,Нет,Нет,"5,0",Да,EN 16378
5,,Кукуруза,5,Зерновая примесь (всего поврежденные),Числовое,%,Проценты,Нет,Нет,"5,0",Да,EN 16378
6,,Кукуруза,6,Прочие зерновые,Числовое,%,Проценты,Нет,Нет,"0,5",Да,EN 16378
7,,Кукуруза,7,"Поврежденные вредителями, фузариозом",Числовое,%,Проценты,Нет,Нет,"0,5",Да,EN 16378
8,,Кукуруза,8,Поврежденные сушкой,Числовое,%,Проценты,Нет,Нет,"2,0",Да,EN 16378
9,,Кукуруза,9,Поврежденные плесенью,Числовое,%,Проценты,Нет,Нет,"2,0",Да,EN 16378
10,,Кукуруза,10,Суммарный афлотаксин,Числовое,ppb,Миллиарндая доля,Нет,Нет,20,Да,ТР ТС 015/2011
11,,Кукуруза,11,Афлотаксин,Числовое,ppb,Миллиарндая доля,Нет,Нет,250,Да,ТР ТС 015/2011
12,,Кукуруза,12,Охратоксин А,Числовое,ppb,Миллиарндая доля,Нет,Нет,250,Да,ТР ТС 015/2011
13,,Кукуруза,13,Вомитоксин (ДОН),Числовое,ppb,Миллиарндая доля,Нет,Нет,8 000,Да,ТР ТС 015/2011
14,,Кукуруза,14,Зеараленон,Числовое,ppb,Миллиарндая доля,Нет,Нет,2 000,Да,ТР ТС 015/2011
15,,Кукуруза,15,Фумонизин,Числовое,ppb,Миллиарндая доля,Нет,Нет,60 000,Да,ТР ТС 015/2011
16,,Кукуруза,16,Зараженность,Текстовое,Не допускается,,,,,,ГОСТ 30483-97
17,,Кукуруза,17,Запах,Текстовое,Свойственный здоровому зерну без запаха фумигантов и других инородных запахов,,,,,,
18,,Кукуруза,18,Афлатоксины,Текстовое,В пределах европейских норм,,,,,,
19,,Кукуруза,20,Остальные показатели,Текстовое,Остальные показатели качества должны соответствовать ГОСТ 13634 – 90,,,,,,
